played_at,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
2025-07-06T03:09:42.703Z,7MzdamT9kZ3uFFWOLjYN30,En été,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0mrnkkp1dYUWc226KXIeBc,Made In Paris,167105,54,True,2025-07-06T23:01:18.667898
2025-07-06T03:06:51.401Z,4s4m1kZ7tvbfK6Xx7CWSsv,Fuck Yo Gang,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,5DMe4KTlpZN60riRr8hr8g,B4FN,130285,53,True,2025-07-06T23:01:18.667906
2025-07-06T03:04:42.596Z,0JCy7Tt1zeU0Va2g6mde5W,IMY,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,5DMe4KTlpZN60riRr8hr8g,B4FN,139867,54,True,2025-07-06T23:01:18.667920
2025-07-06T03:02:20.108Z,3a3zDlE4bgI6ZvU00m6o84,Cross Your Mind,4z1P9QhvHGEJzPhQAjXYPE,Shelly,4THHnIlzoybD2SpgzsAmCX,Shelly 2,228692,69,False,2025-07-06T23:01:18.667925
2025-07-06T02:58:31.128Z,4A6zEXlSk7xIIqDh92iZ26,It's Our Love,0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,6Bq78nvB8jyxF9dQIdCahr,Will I See You Again?,227906,70,False,2025-07-06T23:01:18.667930
2025-07-06T02:54:42.130Z,6VLjdregMReJhKp2r32IWo,Natural,4z1P9QhvHGEJzPhQAjXYPE,Shelly,6FarB45iYtZTAuzzqGcAU3,Shelly,163764,65,False,2025-07-06T23:01:18.667936
2025-07-06T02:51:57.944Z,6NLRMu1qF1kJQnntDNWDmy,Lemon Glow,56ZTgzPBDge0OvCGgMO3OY,Beach House,1zN85Ep8w2JORfCe0RHLDP,7,244946,63,False,2025-07-06T23:01:18.667941
2025-07-06T02:47:52.209Z,07bnTdZ6iroLCm4vDZVyb9,Unlucky,7EEefVBNBS3ckwouEl62oB,Lunar Vacation,7j3OfkO7h4uRI2oEhR292P,Unlucky,218093,53,False,2025-07-06T23:01:18.667946
2025-07-06T02:44:14.721Z,1hGfLiyP85XyiJDHLJP9sV,New Means,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,4apnTORFFrrRlpXeZQibAf,FOR NOTHING,146666,43,True,2025-07-06T23:01:18.667951
2025-07-06T02:41:46.826Z,4ZAGw4waA4eWG9zvI1KVgU,Valley,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,4apnTORFFrrRlpXeZQibAf,FOR NOTHING,109714,43,True,2025-07-06T23:01:18.667956
2025-07-06T02:39:56.303Z,6m8NQdtPivRwOggoZlMJ3b,Moshpit,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,4apnTORFFrrRlpXeZQibAf,FOR NOTHING,96690,41,True,2025-07-06T23:01:18.668016
2025-07-06T02:38:18.987Z,2XChZSnhG4NfUioTgf0GHh,Chaos,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,4apnTORFFrrRlpXeZQibAf,FOR NOTHING,216575,41,True,2025-07-06T23:01:18.668022
2025-07-06T02:34:47.992Z,15eiKkz8TDnKlM6wJmn2n1,Pretty,6Rs7Ufqb4h0FTuVg6wlqOy,Nine Vicious,4apnTORFFrrRlpXeZQibAf,FOR NOTHING,164468,39,True,2025-07-06T23:01:18.668028
